Country,Gold,Silver,Bronze,Total,population,gdp_per_capita_usd,temperature,Sport,Sport_Gold,Sport_Silver,Sport_Bronze,Sport_Total,sport_dominance_pct,climate_zone
Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Cross-Country Skiing,0,1,1,2,8.7,Cold
Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Curling,0,1,1,2,8.7,Cold
Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Freestyle Skiing,1,3,1,5,21.74,Cold
Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Ice Hockey,0,0,1,1,4.35,Cold
Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Ski Jumping,0,0,1,1,4.35,Cold
Switzerland,6,9,8,23,9055930,100623.549627296,7.377000000000001,Ski Mountaineering,1,1,0,2,8.7,Cold
Austria,5,8,5,18,9163189,56579.504175468,8.031,Alpine Skiing,1,2,1,4,22.22,Mild
Austria,5,8,5,18,9163189,56579.504175468,8.031,Freestyle Skiing,0,0,1,1,5.56,Mild
Austria,5,8,5,18,9163189,56579.504175468,8.031,Luge,0,3,1,4,22.22,Mild
Austria,5,8,5,18,9163189,56579.504175468,8.031,Nordic Combined,0,2,1,3,16.67,Mild
Austria,5,8,5,18,9163189,56579.504175468,8.031,Skeleton,1,0,0,1,5.56,Mild
Austria,5,8,5,18,9163189,56579.504175468,8.031,Ski Jumping,1,0,0,1,5.56,Mild
Austria,5,8,5,18,9163189,56579.504175468,8.031,Snowboard,2,1,1,4,22.22,Mild
Japan,5,7,12,24,122638865,33836.1756271617,13.706,Figure Skating,1,3,2,6,25.0,Mild
Japan,5,7,12,24,122638865,33836.1756271617,13.706,Freestyle Skiing,0,1,1,2,8.33,Mild
Japan,5,7,12,24,122638865,33836.1756271617,13.706,Ski Jumping,0,1,3,4,16.67,Mild
Japan,5,7,12,24,122638865,33836.1756271617,13.706,Snowboard,4,2,3,9,37.5,Mild
Japan,5,7,12,24,122638865,33836.1756271617,13.706,Speed Skating,0,0,3,3,12.5,Mild
Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Curling,1,0,1,2,9.52,Cold
Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Figure Skating,0,0,1,1,4.76,Cold
Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Freestyle Skiing,2,1,2,5,23.81,Cold
Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Ice Hockey,0,2,0,2,9.52,Cold
Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Short Track Speed Skating,1,2,2,5,23.81,Cold
Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Snowboard,0,1,0,1,4.76,Cold
Canada,5,7,9,21,40969904,54220.3285039875,0.5432,Speed Skating,1,1,3,5,23.81,Cold
People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.236,Freestyle Skiing,3,3,3,9,60.0,Mild
People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.236,Short Track Speed Skating,0,1,0,1,6.67,Mild
People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.236,Snowboard,1,0,1,2,13.33,Mild
People's Republic of China,5,4,6,15,1408902044,12951.1782397043,13.236,Speed Skating,1,0,2,3,20.0,Mild
Republic of Korea,3,4,3,10,51355773,35674.095995632,13.352,Short Track Speed Skating,2,3,2,7,70.0,Mild
Republic of Korea,3,4,3,10,51355773,35674.095995632,13.352,Snowboard,1,1,1,3,30.0,Mild
Australia,3,2,1,6,27475920,65058.3773146674,19.388,Freestyle Skiing,2,1,1,4,66.67,Warm
Australia,3,2,1,6,27475920,65058.3773146674,19.388,Snowboard,1,1,0,2,33.33,Warm
Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Curling,0,1,0,1,20.0,Mild
Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Freestyle Skiing,0,0,1,1,20.0,Mild
Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Skeleton,2,0,0,2,40.0,Mild
Great Britain,3,1,1,5,69709264,49944.4702124201,10.2528,Snowboard,1,0,0,1,20.0,Mild
Czechia,2,2,1,5,10712479,31761.5944102491,9.5184,Biathlon,0,0,1,1,20.0,Mild
Czechia,2,2,1,5,10712479,31761.5944102491,9.5184,Snowboard,1,1,0,2,40.0,Mild
Czechia,2,2,1,5,10712479,31761.5944102491,9.5184,Speed Skating,1,1,0,2,40.0,Mild
Slovenia,2,1,1,4,2124212,32660.4753581346,11.048,Ski Jumping,2,1,1,4,100.0,Mild
Spain,1,0,2,3,48710759,33493.2225409111,14.830000000000002,Ski Mountaineering,1,0,2,3,100.0,Mild
Brazil,1,0,0,1,213491851,10377.5897719195,24.606,Alpine Skiing,1,0,0,1,100.0,Warm
Kazakhstan,1,0,0,1,20800815,12879.4275257974,7.1556,Figure Skating,1,0,0,1,100.0,Cold
Poland,0,3,1,4,37587594,22145.2660647429,9.7012,Ski Jumping,0,2,1,3,75.0,Mild
Poland,0,3,1,4,37587594,22145.2660647429,9.7012,Speed Skating,0,1,0,1,25.0,Mild
New Zealand,0,2,1,3,5314739,49075.9562832927,12.08,Freestyle Skiing,0,0,1,1,33.33,Mild
New Zealand,0,2,1,3,5314739,49075.9562832927,12.08,Snowboard,0,2,0,2,66.67,Mild
Finland,0,1,5,6,5639673,52834.2916752703,5.6714,Biathlon,0,0,1,1,16.67,Cold
